DVM,AR_IB_FF_Lookups,
Config_Name,config_value,BU_ID,LE_Name,ERP_ReasonCode,Product_Code,Payment_Terms,UOM,LE_Identifier,TransactionType,Tax_Regime,Tax,Tax_Jurisdiction,Tax_Status,Tax_Rate_Code,Default_Taxation_Country
DocuSign,US BU USD,300000002245022,"DocuSign, Inc.",,,,,DS001,DSI FF Invoice,US FF SALES TAX,US FF SALES TAX,UNITED STATES,STANDARD,US FF SALES TAX STANDARD,US
SpringCM,US BU USD,300000002245022,"SpringCM, Inc.",,,,,DS004,SCM FF Invoice,US FF SALES TAX,US FF SALES TAX,UNITED STATES,STANDARD,US FF SALES TAX STANDARD,US
Liveoak Technologies,,,Liveoak Technologies,,,,,DS001,LOT FF Invoice,US FF SALES TAX,US FF SALES TAX,UNITED STATES,STANDARD,US FF SALES TAX STANDARD,US
DocuSign International (EMEA) Limited,,,DocuSign International (EMEA) Limited,,,,,DS004,DIE FF Invoice,IE FF OUTPUT VAT,IE FF OUTPUT VAT,IRELAND,STANDARD,IE FF OUTPUT VAT STANDARD,IE
DS France SAS,,,DS France SAS,,,,,DS001,DFS FF Invoice,FR FF OUTPUT VAT,FR FF OUTPUT VAT,FRANCE,STANDARD,FR_FF_STANDARD,FR
DocuSign Israel Ltd.,,,DocuSign Israel Ltd.,,,,,DS004,DIS FF Invoice,US FF SALES TAX,US FF SALES TAX,UNITED STATES,STANDARD,US FF SALES TAX STANDARD,IL
Seal Software Limited (UK),,,Seal Software Limited (UK),,,,,DS001,SSL FF Invoice,US FF SALES TAX,US FF SALES TAX,UNITED STATES,STANDARD,US FF SALES TAX STANDARD,UK
DSI-0000372,,,,,DSI-0000372,,Hour,,,,,,,,
DSI-0000561,,,,,DSI-0000561,,Each,,,,,,,,
DSI-0000459,,,,,DSI-0000459,,Each,,,,,,,,
DSI-0000145,,,,,DSI-0000145,,Each,,,,,,,,
DSI-0000557,,,,,DSI-0000557,,Each,,,,,,,,
APT-0556,,,,,,,Each,,,,,,,,
Due Upon Receipt,,,,,,Due On Receipt,,,,,,,,,
Net 30,,,,,,Net 30,,,,,,,,,
Net 45,,,,,,Net 45,,,,,,,,,
Net 60,,,,,,Net 60,,,,,,,,,
12 Adj OR Cancel Replace,,,,12 Adj OR Cancel Replace,,,,,,,,,,,
14 Contract Termination,,,,14 Contract Termination,,,,,,,,,,,
16 Contractual Credit,,,,16 Contractual Credit,,,,,,,,,,,
17 WO Bankrupt,,,,17 WO Bankrupt,,,,,,,,,,,
11 Billing Correction,,,,11 Billing Correction,,,,,,,,,,,
13 Concession Credit,,,,13 Concession Credit,,,,,,,,,,,
18 WO Customer Dispute,,,,18 WO Customer Dispute,,,,,,,,,,,
19 WO Low Value,,,,19 WO Low Value,,,,,,,,,,,
20 WO Uncontactable,,,,19 WO Low Value,,,,,,,,,,,
21 WO Unable to pay,,,,21 WO Unable to pay,,,,,,,,,,,
15 WitholdingTax Expense,,,,15 WitholdingTax Expense,,,,,,,,,,,
22 Account Bal Transfer,,,,19 WO Low Value,,,,,,,,,,,
26 WO Bank Fees,,,,19 WO Low Value,,,,,,,,,,,
DocuSign18 WO Customer Dispute,,,,,,,,,DSI FF 18 WO CX Disp,,,,,,
DocuSign19 WO Low Value,,,,,,,,,DSI FF 19 WO Low Val,,,,,,
DocuSign20 WO Uncontactable,,,,,,,,,DSI FF 19 WO Low Val,,,,,,
DocuSign21 WO Unable to pay,,,,,,,,,DSI FF 21 WO Uable pay,,,,,,
DocuSign15 WitholdingTax Expense,,,,,,,,,DSI FF 15 WHT Expens,,,,,,
DocuSign22 Account Bal Transfer,,,,,,,,,DSI FF 22 ACTBalxfer,,,,,,
DocuSign26 WO Bank Fees,,,,,,,,,DSI FF 26 WO BankFee,,,,,,
DocuSign12 Adj OR Cancel Replace,,,,,,,,,DSI 12 Adj R CX RPLC,,,,,,
DocuSign14 Contract Termination,,,,,,,,,DSI 14 CNTRCT TRMN,,,,,,
DocuSign16 Contractual Credit,,,,,,,,,DSI 16 CNTRCT CR,,,,,,
DocuSign17 WO Bankrupt,,,,,,,,,DSI FF 17 WO Bankrpt,,,,,,
DocuSign11 Billing Correction,,,,,,,,,DSI 11 Billing CX,,,,,,
DocuSign13 Concession Credit,,,,,,,,,DSI 13 Concession CR,,,,,,
SpringCM18 WO Customer Dispute,,,,,,,,,SCM FF 18 WO CX Disp,,,,,,
SpringCM19 WO Low Value,,,,,,,,,SCM FF 19 WO Low Val,,,,,,
SpringCM20 WO Uncontactable,,,,,,,,,SCM FF 19 WO Low Val,,,,,,
SpringCM21 WO Unable to pay,,,,,,,,,SCM FF 21 WO UablPay,,,,,,
SpringCM15 WitholdingTax Expense,,,,,,,,,SCM FF 15 WHT Expens,,,,,,
SpringCM22 Account Bal Transfer,,,,,,,,,SCM FF 22 ACTBalxfer,,,,,,
SpringCM26 WO Bank Fees,,,,,,,,,SCM FF 26 WO BankFee,,,,,,
SpringCM12 Adj OR Cancel Replace,,,,,,,,,SCM 12 Adj R CX RPLC,,,,,,
